Fiscal year,Profit Centre,Product Group Name,General Ledger code,General Ledger Name/Income Type,Country,Country Name,Invoice Currency,Amount Invoice Currency ,GBP Equivalent,Quantity,Region,Aa Country,Profit Center &Product,Profit Center &Income type,Invoiced/Quantity
2020,C003,A and AS LEVEL,102000,Subject Fees,AE,Utd.Arab Emir.,GBP,"877,723",877723,10247,Middle East & North Africa,AE Utd.Arab Emir.,C003-A and AS LEVEL,C003-Subject Fees,86
2020,C003,A and AS LEVEL,102000,Subject Fees,AG,Antigua/Barbuda,GBP,302,302,3,Latin America,AG Antigua/Barbuda,C003-A and AS LEVEL,C003-Subject Fees,101
2020,C003,A and AS LEVEL,102000,Subject Fees,AL,Albania,GBP,68,68,1,Europe,AL Albania,C003-A and AS LEVEL,C003-Subject Fees,68
2020,C003,A and AS LEVEL,102000,Subject Fees,AM,Armenia,GBP,632,632,8,Europe,AM Armenia,C003-A and AS LEVEL,C003-Subject Fees,79
2020,C003,A and AS LEVEL,102000,Subject Fees,AO,Angola,GBP,"1,253",1253,21,Sub-Saharan Africa,AO Angola,C003-A and AS LEVEL,C003-Subject Fees,60
2020,C003,A and AS LEVEL,102000,Subject Fees,AR,Argentina,USD,"154,197",126534,1429,Latin America,AR Argentina,C003-A and AS LEVEL,C003-Subject Fees,108
2020,C003,A and AS LEVEL,102000,Subject Fees,AU,Australia,GBP,"3,345",3345,50,Southeast Asia & Pacific,AU Australia,C003-A and AS LEVEL,C003-Subject Fees,67
2020,C003,A and AS LEVEL,102000,Subject Fees,AZ,Azerbaijan,GBP,"7,521",7521,108,Europe,AZ Azerbaijan,C003-A and AS LEVEL,C003-Subject Fees,70
2020,C003,A and AS LEVEL,102000,Subject Fees,BA,Bosnia-Herz.,GBP,"28,851",28851,397,Europe,BA Bosnia-Herz.,C003-A and AS LEVEL,C003-Subject Fees,73
2020,C003,A and AS LEVEL,102000,Subject Fees,BB,Barbados,GBP,"2,532",2532,34,Latin America,BB Barbados,C003-A and AS LEVEL,C003-Subject Fees,75
2020,C003,A and AS LEVEL,102000,Subject Fees,BD,Bangladesh,GBP,"660,222",660222,12473,South Asia,BD Bangladesh,C003-A and AS LEVEL,C003-Subject Fees,53
2020,C003,A and AS LEVEL,102000,Subject Fees,BE,Belgium,EUR,"26,301",22315,218,Europe,BE Belgium,C003-A and AS LEVEL,C003-Subject Fees,121
2020,C003,A and AS LEVEL,102000,Subject Fees,BG,Bulgaria,GBP,"5,190",5190,74,Europe,BG Bulgaria,C003-A and AS LEVEL,C003-Subject Fees,70
2020,C003,A and AS LEVEL,102000,Subject Fees,BH,Bahrain,GBP,"95,309",95309,1142,Middle East & North Africa,BH Bahrain,C003-A and AS LEVEL,C003-Subject Fees,84
2020,C003,A and AS LEVEL,102000,Subject Fees,BJ,Benin,GBP,"1,834",1834,39,Sub-Saharan Africa,BJ Benin,C003-A and AS LEVEL,C003-Subject Fees,47
2020,C003,A and AS LEVEL,102000,Subject Fees,BM,Bermuda,GBP,208,208,3,North America,BM Bermuda,C003-A and AS LEVEL,C003-Subject Fees,69
